Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
3153,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
3154,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
3155,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
3156,Typhoid,High fever, Weakness, Abdominal pain, Rash
3157,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
3158,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
3159,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
3160,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
3161,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
3162,AIDS,Fever, Fatigue, Weight loss, Frequent infections
3163,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
3164,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
3165,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
3166,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
3167,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
3168,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
3169,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
3170,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
3171,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
3172,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
3173,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
3174,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
3175,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
3176,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
3177,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
3178,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
3179,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
3180,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
3181,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
3182,Common Cold,Sneezing, Runny nose, Sore throat, Cough
3183,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
3184,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
3185,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
3186,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
3187,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
3188,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
3189,Dermatitis,Itching, Redness, Swelling, Skin irritation
3190,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
3191,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
3192,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
3193,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
3194,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
3195,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
3196,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
3197,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
3198,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
3199,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
3200,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
3201,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
3202,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
3203,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
3204,Gout,Joint pain, Redness, Swelling, Warmth
3205,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
3206,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
3207,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
3208,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
3209,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
3210,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
3211,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
3212,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
3213,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
3214,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
3215,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
3216,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
3217,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
3218,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
3219,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
3220,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
3221,Impetigo,Red sores, Itching, Blisters, Skin crusting
3222,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
3223,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
3224,Influenza,Fever, Chills, Body aches, Sore throat
3225,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
3226,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
3227,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
3228,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
3229,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
3230,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
3231,Malaria,High fever, Chills, Sweating, Muscle pain
3232,Measles,Fever, Rash, Cough, Runny nose
3233,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
3234,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
3235,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
3236,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
3237,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
3238,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
3239,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
3240,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
3241,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
3242,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
3243,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
3244,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
3245,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
3246,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
3247,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
3248,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
3249,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
3250,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
3251,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
3252,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
3253,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
3254,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
3255,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
3256,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
3257,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
3258,Typhoid,High fever, Weakness, Abdominal pain, Rash
3259,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
3260,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
3261,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
3262,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
3263,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
3264,AIDS,Fever, Fatigue, Weight loss, Frequent infections
3265,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
3266,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
3267,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
3268,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
3269,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
3270,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
3271,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
3272,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
3273,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
3274,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
3275,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
3276,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
3277,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
3278,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
3279,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
3280,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
3281,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
3282,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
3283,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
3284,Common Cold,Sneezing, Runny nose, Sore throat, Cough
3285,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
3286,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
3287,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
3288,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
3289,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
3290,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
3291,Dermatitis,Itching, Redness, Swelling, Skin irritation
3292,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
3293,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
3294,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
3295,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
3296,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
3297,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
3298,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
3299,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
3300,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
3301,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
3302,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
3303,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
3304,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
3305,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
3306,Gout,Joint pain, Redness, Swelling, Warmth
3307,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
3308,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
3309,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
3310,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
3311,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
3312,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
3313,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
3314,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
3315,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
3316,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
3317,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
3318,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
3319,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
3320,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
3321,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
3322,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
3323,Impetigo,Red sores, Itching, Blisters, Skin crusting
3324,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
3325,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
3326,Influenza,Fever, Chills, Body aches, Sore throat
3327,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
3328,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
3329,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
3330,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
3331,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
3332,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
3333,Malaria,High fever, Chills, Sweating, Muscle pain
3334,Measles,Fever, Rash, Cough, Runny nose
3335,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
3336,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
3337,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
3338,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
3339,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
3340,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
3341,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
3342,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
3343,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
3344,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
3345,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
3346,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
3347,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
3348,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
3349,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
3350,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
3351,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
3352,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
3353,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
3354,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
3355,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
3356,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
3357,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
3358,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
3359,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
3360,Typhoid,High fever, Weakness, Abdominal pain, Rash
3361,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
3362,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
3363,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
3364,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
3365,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
3366,AIDS,Fever, Fatigue, Weight loss, Frequent infections
3367,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
3368,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
3369,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
3370,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
3371,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
3372,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
3373,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
3374,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
3375,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
3376,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
3377,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
3378,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
3379,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
3380,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
3381,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
3382,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
3383,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
3384,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
3385,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
3386,Common Cold,Sneezing, Runny nose, Sore throat, Cough
3387,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
3388,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
3389,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
3390,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
3391,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
3392,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
3393,Dermatitis,Itching, Redness, Swelling, Skin irritation
3394,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
3395,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
3396,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
3397,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
3398,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
3399,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
3400,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
3401,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
3402,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
3403,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
3404,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
3405,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
3406,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
3407,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
3408,Gout,Joint pain, Redness, Swelling, Warmth
3409,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
3410,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
3411,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
3412,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
3413,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
3414,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
3415,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
3416,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
3417,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
3418,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
3419,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
